sex,age_start,age_end,pregnant,wealth_quintile,value
Female,70.0,75.0,not_pregnant,lowest,172474.46744078444
Female,70.0,75.0,not_pregnant,second,162644.68402027825
Female,70.0,75.0,not_pregnant,middle,201333.0434831919
Female,70.0,75.0,not_pregnant,fourth,169744.80647442894
Female,70.0,75.0,not_pregnant,highest,173427.7003977077
Female,75.0,80.0,not_pregnant,lowest,109154.70045427074
Female,75.0,80.0,not_pregnant,second,102933.68072470358
Female,75.0,80.0,not_pregnant,middle,127418.5586947798
Female,75.0,80.0,not_pregnant,fourth,107427.16750666765
Female,75.0,80.0,not_pregnant,highest,109757.97733008902
Female,80.0,85.0,not_pregnant,lowest,61209.98381256584
Female,80.0,85.0,not_pregnant,second,57721.46233470253
Female,80.0,85.0,not_pregnant,middle,71451.69088156102
Female,80.0,85.0,not_pregnant,fourth,60241.246201465365
Female,80.0,85.0,not_pregnant,highest,61548.279530933025
Female,85.0,90.0,not_pregnant,lowest,26154.19628709144
Female,85.0,90.0,not_pregnant,second,24663.59835190557
Female,85.0,90.0,not_pregnant,middle,30530.33887549059
Female,85.0,90.0,not_pregnant,fourth,25740.26783860509
Female,85.0,90.0,not_pregnant,highest,26298.745461427956
Female,90.0,95.0,not_pregnant,lowest,8610.673218339132
Female,90.0,95.0,not_pregnant,second,8119.927810645171
Female,90.0,95.0,not_pregnant,middle,10051.41845753273
Female,90.0,95.0,not_pregnant,fourth,8474.396707810334
Female,90.0,95.0,not_pregnant,highest,8658.262740514845
Female,95.0,125.0,not_pregnant,lowest,3363.0230911134236
Female,95.0,125.0,not_pregnant,second,3171.355367105776
Female,95.0,125.0,not_pregnant,middle,3925.7270034509975
Female,95.0,125.0,not_pregnant,fourth,3309.798326909317
Female,95.0,125.0,not_pregnant,highest,3381.609868002263
Male,0.0,0.01917808,not_pregnant,lowest,17181.510848837428
Male,0.0,0.01917808,not_pregnant,second,17840.69422744703
Male,0.0,0.01917808,not_pregnant,middle,16236.273091394918
Male,0.0,0.01917808,not_pregnant,fourth,15041.90976000016
Male,0.0,0.01917808,not_pregnant,highest,13627.254393289697
Male,0.01917808,0.07671233,not_pregnant,lowest,50450.6922868553
Male,0.01917808,0.07671233,not_pregnant,second,52386.276304316314
Male,0.01917808,0.07671233,not_pregnant,middle,47675.15644148021
Male,0.01917808,0.07671233,not_pregnant,fourth,44168.10415480791
Male,0.01917808,0.07671233,not_pregnant,highest,40014.20039012896
Male,0.07671233,0.5,not_pregnant,lowest,367174.4849424834
Male,0.07671233,0.5,not_pregnant,second,381261.44851938006
Male,0.07671233,0.5,not_pregnant,middle,346974.44608730753
Male,0.07671233,0.5,not_pregnant,fourth,321450.5125463447
Male,0.07671233,0.5,not_pregnant,highest,291218.86643483985
Male,0.5,1.0,not_pregnant,lowest,422656.24342563195
Male,0.5,1.0,not_pregnant,second,438871.8121834052
Male,0.5,1.0,not_pregnant,middle,399403.88551487506
Male,0.5,1.0,not_pregnant,fourth,370023.16787171224
Male,0.5,1.0,not_pregnant,highest,335223.3805715045
Male,1.0,2.0,not_pregnant,lowest,820114.4322512745
Male,1.0,2.0,not_pregnant,second,851578.824821528
Male,1.0,2.0,not_pregnant,middle,774995.9829130496
Male,1.0,2.0,not_pregnant,fourth,717986.1766133417
Male,1.0,2.0,not_pregnant,highest,650461.3068211445
Male,2.0,5.0,not_pregnant,lowest,2347415.7964800317
Male,2.0,5.0,not_pregnant,second,2437476.4139274177
Male,2.0,5.0,not_pregnant,middle,2218273.1347681805
Male,2.0,5.0,not_pregnant,fourth,2055093.8092991244
Male,2.0,5.0,not_pregnant,highest,1861817.1886568777
Male,5.0,10.0,not_pregnant,lowest,3826718.917777105
Male,5.0,10.0,not_pregnant,second,3570346.658106621
Male,5.0,10.0,not_pregnant,middle,3416654.0311831734
Male,5.0,10.0,not_pregnant,fourth,3189972.65574959
Male,5.0,10.0,not_pregnant,highest,2844138.587659481
Male,10.0,15.0,not_pregnant,lowest,3388955.27711266
Male,10.0,15.0,not_pregnant,second,3161911.1327728718
Male,10.0,15.0,not_pregnant,middle,3025800.4201083304
Male,10.0,15.0,not_pregnant,fourth,2825050.623740991
Male,10.0,15.0,not_pregnant,highest,2518778.7978656474
Male,15.0,20.0,not_pregnant,lowest,2408357.138446669
Male,15.0,20.0,not_pregnant,second,2442420.9588141264
Male,15.0,20.0,not_pregnant,middle,2434444.776951545
Male,15.0,20.0,not_pregnant,fourth,2624382.848320562
Male,15.0,20.0,not_pregnant,highest,2473973.3177600335
Male,20.0,25.0,not_pregnant,lowest,1902829.3097255067
Male,20.0,25.0,not_pregnant,second,1929742.9409148695
Male,20.0,25.0,not_pregnant,middle,1923441.004883235
Male,20.0,25.0,not_pregnant,fourth,2073509.9973362428
Male,20.0,25.0,not_pregnant,highest,1954672.2806854548
Male,25.0,30.0,not_pregnant,lowest,1528552.9199565903
Male,25.0,30.0,not_pregnant,second,1550172.7832469395
Male,25.0,30.0,not_pregnant,middle,1545110.4044653536
Male,25.0,30.0,not_pregnant,fourth,1665661.6254480064
Male,25.0,30.0,not_pregnant,highest,1570198.6546712215
Male,30.0,35.0,not_pregnant,lowest,1001857.8194581894
Male,30.0,35.0,not_pregnant,second,1072012.2253631882
Male,30.0,35.0,not_pregnant,middle,1217063.4481494639
Male,30.0,35.0,not_pregnant,fourth,1398607.3019936148
Male,30.0,35.0,not_pregnant,highest,1749698.1705055605
Male,35.0,40.0,not_pregnant,lowest,847507.0737879653
Male,35.0,40.0,not_pregnant,second,906853.1747087855
Male,35.0,40.0,not_pregnant,middle,1029557.1502483936
Male,35.0,40.0,not_pregnant,fourth,1183131.5370998678
Male,35.0,40.0,not_pregnant,highest,1480131.7589149277
Male,40.0,45.0,not_pregnant,lowest,724571.2815698184
Male,40.0,45.0,not_pregnant,second,775308.8880515887
Male,40.0,45.0,not_pregnant,middle,880213.9437853053
Male,40.0,45.0,not_pregnant,fourth,1011511.4795096045
Male,40.0,45.0,not_pregnant,highest,1265430.1050913632
Male,45.0,50.0,not_pregnant,lowest,602877.4112053561
Male,45.0,50.0,not_pregnant,second,645093.4879731439
Male,45.0,50.0,not_pregnant,middle,732379.432133218
Male,45.0,50.0,not_pregnant,fourth,841625.1619165079
Male,45.0,50.0,not_pregnant,highest,1052897.410129125
Male,50.0,55.0,not_pregnant,lowest,638280.4891678717
Male,50.0,55.0,not_pregnant,second,558575.9256478061
Male,50.0,55.0,not_pregnant,middle,574167.6123331164
Male,50.0,55.0,not_pregnant,fourth,614813.4733188302
Male,50.0,55.0,not_pregnant,highest,655561.3717845071
Male,55.0,60.0,not_pregnant,lowest,465804.2246732638
