Country,Vehicle,Quintile,Sex,Data need,Data point name,Units,Year,Data source,Value,CI,SE,Notes
Nigeria,Bouillon,Lowest,Female,Vehicle consumption by WRA -- any,percentage,%,2021,NFCMS,0.963,"[94.2, 98.4]",,"Table 169, page 220"
Nigeria,Bouillon,Second,Female,Vehicle consumption by WRA -- any,percentage,%,2021,NFCMS,0.981,"[96.8, 99.3]",,95% CI
Nigeria,Bouillon,Middle,Female,Vehicle consumption by WRA -- any,percentage,%,2021,NFCMS,0.992,"[98.5, 99.8]",,"These numbers are for non-pregnant WRA, not all WRA"
Nigeria,Bouillon,Fourth,Female,Vehicle consumption by WRA -- any,percentage,%,2021,NFCMS,0.986,"[97.8, 99.4]",,
Nigeria,Bouillon,Highest,Female,Vehicle consumption by WRA -- any,percentage,%,2021,NFCMS,0.986,"[97.5, 99.7]",,
Nigeria,Rice,All (assumed same),All (assumed same),"Vehicle ""fortifiability"" (essentially amount industrially produced)",percentage,%,,BCG-measured tonnage,0.74,,,"""Updated for Portfolio Review - 3.92 / 5.23 MT"" and is attributed to Laura Key (Boston Consulting Group), from ""20260416_Input data to IHME models.xlsx"" and on both the ""Vehicles - WRA"" and ""Vehicles - Preschool"" sheets, cell Q10"
Nigeria,Rice,Total,Total,Vehicle consumption by U5 children -- amount,mean,g/day,2021,NFCMS,20.5288,,,"Table 173, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Total,Female,Vehicle consumption by U5 children -- amount,mean,g/day,2021,NFCMS,19.028000000000002,,,"Table 173, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Total,Male,Vehicle consumption by U5 children -- amount,mean,g/day,2021,NFCMS,21.976000000000003,,,"Table 173, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Total,Total,Vehicle consumption by U5 children -- amount,standard deviation,g/day,2021,NFCMS,25.62962962962963,,,"Very rough estimate using SD = IQR / 1.35 (normality assumption), IQR reported in table 173"
Nigeria,Rice,Total,Female,Vehicle consumption by U5 children -- amount,standard deviation,g/day,2021,NFCMS,23.999999999999996,,,"Very rough estimate using SD = IQR / 1.35 (normality assumption), IQR reported in table 173"
Nigeria,Rice,Total,Male,Vehicle consumption by U5 children -- amount,standard deviation,g/day,2021,NFCMS,27.333333333333336,,,"Very rough estimate using SD = IQR / 1.35 (normality assumption), IQR reported in table 173"
Nigeria,Rice,Total,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,,INTAKE,0.536,,,INTAKE tabulation of NFCMS (?) shared by Jonathan Gorstein on 8/30; presumably in WRA
Nigeria,Rice,Lowest,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,,INTAKE,0.336,,,
Nigeria,Rice,Second,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,,INTAKE,0.448,,,
Nigeria,Rice,Middle,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,,INTAKE,0.546,,,
Nigeria,Rice,Fourth,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,,INTAKE,0.633,,,
Nigeria,Rice,Highest,All (assumed same),Vehicle consumption by U5 children -- any,percentage,%,,INTAKE,0.676,,,
Nigeria,Rice,Total,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,32.803200000000004,,,"Table 172, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Lowest,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,11.491200000000001,,,"Table 172, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Second,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,23.4752,,,"Table 172, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Middle,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,33.1422,,,"Table 172, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Fourth,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,46.652100000000004,,,"Table 172, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Highest,Female,Vehicle consumption by WRA -- amount,mean,g/day,2021,NFCMS,53.742000000000004,,,"Table 172, page 224; based on email from Jonathan Gorstein 8/31 we have assumed the number reported is among consumers, so have multiplied it by coverage here"
Nigeria,Rice,Total,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,40.07407407407407,,,"Very rough estimate using SD = IQR / 1.35 (normality assumption), IQR reported in table 172"
Nigeria,Rice,Lowest,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,24.814814814814813,,,
Nigeria,Rice,Second,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,33.333333333333336,,,
Nigeria,Rice,Middle,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,35.03703703703703,,,
Nigeria,Rice,Fourth,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,37.77777777777778,,,
Nigeria,Rice,Highest,Female,Vehicle consumption by WRA -- amount,standard deviation,g/day,2021,NFCMS,39.03703703703703,,,
Nigeria,Rice,Total,Female,Vehicle consumption by WRA -- any,percentage,%,,INTAKE,0.536,,,INTAKE tabulation of NFCMS (?) shared by Jonathan Gorstein on 8/30; presumably in WRA
Nigeria,Rice,Lowest,Female,Vehicle consumption by WRA -- any,percentage,%,,INTAKE,0.336,,,
Nigeria,Rice,Second,Female,Vehicle consumption by WRA -- any,percentage,%,,INTAKE,0.448,,,
Nigeria,Rice,Middle,Female,Vehicle consumption by WRA -- any,percentage,%,,INTAKE,0.546,,,
