Country,Vehicle,Fortificant,Scenario,Data need,Data point name,Units,Data source,Value,Notes
India,Rice,Folate,Intervention,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V55/Y55 (2035 compliance 85%); Kathy Banke email 9/9/2026: use 2035 targets,0.92,"coverage = effectiveness = sqrt(0.85) ~ 0.92, product 0.8464 realizes the 2035 compliance target"
India,Rice,Folate,Intervention,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,https://nyaspubs.onlinelibrary.wiley.com/doi/full/10.1111/nyas.12478,1.3,https://www.wolframalpha.com/input?i=0.13+mg%2F100g+in+mcg%2Fg
India,Rice,Iron,Intervention,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V55/Y55 (2035 compliance 85%); Kathy Banke email 9/9/2026: use 2035 targets,0.92,"coverage = effectiveness = sqrt(0.85) ~ 0.92, product 0.8464 realizes the 2035 compliance target"
India,Rice,Iron,Intervention,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V55/Y55 (2035 compliance 85%); Kathy Banke email 9/9/2026: use 2035 targets,0.92,"coverage = effectiveness = sqrt(0.85) ~ 0.92, product 0.8464 realizes the 2035 compliance target"
India,Rice,Iron,Intervention,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,FSSAI,42.5,"Same as baseline, PDS rice; see county-vehicle-fort extraction"
Nigeria,Bouillon,Folate,Intervention,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' BI10/BL10 (2035 compliance 50%); Kathy Banke email 9/9/2026: use 2035 targets,0.715,"coverage = effectiveness = 0.715 equal split: sqrt(0.50) ~ 0.7071 rounded up because coverage x fortifiability must exceed baseline iron-labeled bouillon coverage (0.6998 in Q5 -> coverage >= 0.7113, asserted in the coverage notebook); product 0.5112 vs 2035 compliance target 0.50; pending GF country-team confirmation (KB email 9/9/2026)"
Nigeria,Bouillon,Folate,Intervention,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' BI10/BL10 (2035 compliance 50%); Kathy Banke email 9/9/2026: use 2035 targets,0.715,"coverage = effectiveness = 0.715 equal split: sqrt(0.50) ~ 0.7071 rounded up because coverage x fortifiability must exceed baseline iron-labeled bouillon coverage (0.6998 in Q5 -> coverage >= 0.7113, asserted in the coverage notebook); product 0.5112 vs 2035 compliance target 0.50; pending GF country-team confirmation (KB email 9/9/2026)"
Nigeria,Bouillon,Folate,Intervention,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Andy Garcia email 7/26,24,15% Codex (60mcg) per 2.5 grams; https://www.wolframalpha.com/input?i=15%25+of+400mcg+per+2.5+grams+in+mcg%2Fg
Nigeria,Bouillon,Iron,Intervention,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' BI10/BL10 (2035 compliance 50%); Kathy Banke email 9/9/2026: use 2035 targets,0.715,"coverage = effectiveness = 0.715 equal split: sqrt(0.50) ~ 0.7071 rounded up because coverage x fortifiability must exceed baseline iron-labeled bouillon coverage (0.6998 in Q5 -> coverage >= 0.7113, asserted in the coverage notebook); product 0.5112 vs 2035 compliance target 0.50; pending GF country-team confirmation (KB email 9/9/2026)"
Nigeria,Bouillon,Iron,Intervention,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' BI10/BL10 (2035 compliance 50%); Kathy Banke email 9/9/2026: use 2035 targets,0.715,"coverage = effectiveness = 0.715 equal split: sqrt(0.50) ~ 0.7071 rounded up because coverage x fortifiability must exceed baseline iron-labeled bouillon coverage (0.6998 in Q5 -> coverage >= 0.7113, asserted in the coverage notebook); product 0.5112 vs 2035 compliance target 0.50; pending GF country-team confirmation (KB email 9/9/2026)"
Nigeria,Bouillon,Iron,Intervention,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Andy Garcia email 7/26,1320,15% Nigeria-specific NRV per 2.5 grams; https://www.wolframalpha.com/input?i=15%25+of+22mg+per+2.5+grams+in+mcg%2Fg
Nigeria,Rice,Folate,Intervention,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V10/Y10 (2035 compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target"
Nigeria,Rice,Folate,Intervention,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V10/Y10 (2035 compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target"
Nigeria,Rice,Folate,Intervention,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Jonathan Gorstein email 8/30,1.69,https://www.wolframalpha.com/input?i=0.169+mg%2F100g+in+mcg%2Fg
Nigeria,Rice,Iron,Intervention,Intervention coverage % of fortifiable,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V10/Y10 (2035 compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target"
Nigeria,Rice,Iron,Intervention,Intervention effective % of fortified,percentage,%,GF Apr-2026 workbook 'Vehicles - WRA' V10/Y10 (2035 compliance 90%); Kathy Banke email 9/9/2026: use 2035 targets,0.95,"coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 2035 compliance target"
Nigeria,Rice,Iron,Intervention,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Jonathan Gorstein email 8/30,40,https://www.wolframalpha.com/input?i=4+mg%2F100g+in+mcg%2Fg
Nigeria,Salt,Folate,Intervention - 100% NRV,Intervention coverage % of fortifiable,percentage,%,"GAIN compliance targets (GF Apr-2026 workbook, 'Ref' tab): Nigeria salt new compliance 90%",0.95,"GF Apr-2026 FA-compliance cells for Nigeria salt are blank on the current ('Updated 22 Jan 2026') vehicle tabs (iodine cells are xx); the GAIN compliance-targets tab (Nigeria salt: new compliance 90%) is the proxy, pending GF confirmation. Encoded as coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 90% target -- the 2035 equal-split convention adopted 2026-09-09, matching Ethiopia salt. Alternative pending the same confirmation: Alem's projections ('Notes for Discussion' tab) recommend Nigeria salt compliance 100% for both 2030 and 2035."
Nigeria,Salt,Folate,Intervention - 100% NRV,Intervention effective % of fortified,percentage,%,"GAIN compliance targets (GF Apr-2026 workbook, 'Ref' tab): Nigeria salt new compliance 90%",0.95,"GF Apr-2026 FA-compliance cells for Nigeria salt are blank on the current ('Updated 22 Jan 2026') vehicle tabs (iodine cells are xx); the GAIN compliance-targets tab (Nigeria salt: new compliance 90%) is the proxy, pending GF confirmation. Encoded as coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 90% target -- the 2035 equal-split convention adopted 2026-09-09, matching Ethiopia salt. Alternative pending the same confirmation: Alem's projections ('Notes for Discussion' tab) recommend Nigeria salt compliance 100% for both 2030 and 2035."
Nigeria,Salt,Folate,Intervention - 100% NRV,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Codex NRV; convention mirrors Ethiopia ('NRV per average intake'),102.5641025641026,100% of the Codex 400 mcg NRV per 3.9 g/day mean WRA salt intake. Convention pending GF confirmation of the Nigerian salt FA standard (scenario grid lists FA @ 25% and @ 100% NRV as net-new #5/#6).
Nigeria,Salt,Folate,Intervention - 25% NRV,Intervention coverage % of fortifiable,percentage,%,"GAIN compliance targets (GF Apr-2026 workbook, 'Ref' tab): Nigeria salt new compliance 90%",0.95,"GF Apr-2026 FA-compliance cells for Nigeria salt are blank on the current ('Updated 22 Jan 2026') vehicle tabs (iodine cells are xx); the GAIN compliance-targets tab (Nigeria salt: new compliance 90%) is the proxy, pending GF confirmation. Encoded as coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 90% target -- the 2035 equal-split convention adopted 2026-09-09, matching Ethiopia salt. Alternative pending the same confirmation: Alem's projections ('Notes for Discussion' tab) recommend Nigeria salt compliance 100% for both 2030 and 2035."
Nigeria,Salt,Folate,Intervention - 25% NRV,Intervention effective % of fortified,percentage,%,"GAIN compliance targets (GF Apr-2026 workbook, 'Ref' tab): Nigeria salt new compliance 90%",0.95,"GF Apr-2026 FA-compliance cells for Nigeria salt are blank on the current ('Updated 22 Jan 2026') vehicle tabs (iodine cells are xx); the GAIN compliance-targets tab (Nigeria salt: new compliance 90%) is the proxy, pending GF confirmation. Encoded as coverage = effectiveness = sqrt(0.90) ~ 0.95, product 0.9025 realizes the 90% target -- the 2035 equal-split convention adopted 2026-09-09, matching Ethiopia salt. Alternative pending the same confirmation: Alem's projections ('Notes for Discussion' tab) recommend Nigeria salt compliance 100% for both 2030 and 2035."
Nigeria,Salt,Folate,Intervention - 25% NRV,Vehicle fortification in intervention -- amount among fortified,concentration,mcg/g,Codex NRV; convention mirrors Ethiopia ('NRV per average intake'),25.64102564102564,25% of the Codex 400 mcg NRV per 3.9 g/day mean WRA salt intake. Convention pending GF confirmation of the Nigerian salt FA standard (scenario grid lists FA @ 25% and @ 100% NRV as net-new #5/#6).
