sex,age_start,age_end,pregnant,wealth_quintile,value
Male,2.0,5.0,not_pregnant,3,2329892.395561964
Male,2.0,5.0,not_pregnant,4,2158502.198581998
Male,2.0,5.0,not_pregnant,5,1955500.26810902
Male,5.0,10.0,not_pregnant,1,4006519.2593192793
Male,5.0,10.0,not_pregnant,2,3738101.21817356
Male,5.0,10.0,not_pregnant,3,3577187.264728069
Male,5.0,10.0,not_pregnant,4,3339855.149169605
Male,5.0,10.0,not_pregnant,5,2977771.8908735844
Male,10.0,15.0,not_pregnant,1,3579523.4001103374
Male,10.0,15.0,not_pregnant,2,3339712.0833275686
Male,10.0,15.0,not_pregnant,3,3195947.5774107133
Male,10.0,15.0,not_pregnant,4,2983909.1954004015
Male,10.0,15.0,not_pregnant,5,2660415.056979859
Male,15.0,20.0,not_pregnant,1,2586907.6826629736
Male,15.0,20.0,not_pregnant,2,2623496.923188265
Male,15.0,20.0,not_pregnant,3,2614929.4039407093
Male,15.0,20.0,not_pregnant,4,2818949.0853288313
Male,15.0,20.0,not_pregnant,5,2657388.507812608
Male,20.0,25.0,not_pregnant,1,2044039.5700406935
Male,20.0,25.0,not_pregnant,2,2072950.4801487972
Male,20.0,25.0,not_pregnant,3,2066180.8731479547
Male,20.0,25.0,not_pregnant,4,2227386.5878393766
Male,20.0,25.0,not_pregnant,5,2099729.843219159
Male,25.0,30.0,not_pregnant,1,1638639.7478596778
Male,25.0,30.0,not_pregnant,2,1661816.680021022
Male,25.0,30.0,not_pregnant,3,1656389.707240476
Male,25.0,30.0,not_pregnant,4,1785623.0623805786
Male,25.0,30.0,not_pregnant,5,1683284.8205563773
Male,30.0,35.0,not_pregnant,1,1058306.4695175756
Male,30.0,35.0,not_pregnant,2,1132413.6533838194
Male,30.0,35.0,not_pregnant,3,1285637.638369203
Male,30.0,35.0,not_pregnant,4,1477410.394236221
Male,30.0,35.0,not_pregnant,5,1848283.1172097058
Male,35.0,40.0,not_pregnant,1,888935.7042941763
Male,35.0,40.0,not_pregnant,2,951182.8166201805
Male,35.0,40.0,not_pregnant,3,1079884.9222303175
Male,35.0,40.0,not_pregnant,4,1240966.47536378
Male,35.0,40.0,not_pregnant,5,1552484.938772794
Male,40.0,45.0,not_pregnant,1,758377.5940883795
Male,40.0,45.0,not_pregnant,2,811482.4643919375
Male,40.0,45.0,not_pregnant,3,921282.0738971304
Male,40.0,45.0,not_pregnant,4,1058705.5569761137
Male,40.0,45.0,not_pregnant,5,1324471.2604493706
Male,45.0,50.0,not_pregnant,1,630985.8984230887
Male,45.0,50.0,not_pregnant,2,675170.2527082539
Male,45.0,50.0,not_pregnant,3,766525.8067095823
Male,45.0,50.0,not_pregnant,4,880864.9968583318
Male,45.0,50.0,not_pregnant,5,1101987.5781203706
Male,50.0,55.0,not_pregnant,1,675661.5324774095
Male,50.0,55.0,not_pregnant,2,591289.0529055848
Male,50.0,55.0,not_pregnant,3,607793.8702993272
Male,50.0,55.0,not_pregnant,4,650820.1654603693
Male,50.0,55.0,not_pregnant,5,693954.4739498022
Male,55.0,60.0,not_pregnant,1,501360.16291404126
Male,55.0,60.0,not_pregnant,2,438753.3722795516
Male,55.0,60.0,not_pregnant,3,451000.4183812473
Male,55.0,60.0,not_pregnant,4,482927.1587899133
Male,55.0,60.0,not_pregnant,5,514934.04817453225
Male,60.0,65.0,not_pregnant,1,347213.8353484088
Male,60.0,65.0,not_pregnant,2,303855.8952825105
Male,60.0,65.0,not_pregnant,3,312337.51022363943
Male,60.0,65.0,not_pregnant,4,334448.17398885475
Male,60.0,65.0,not_pregnant,5,356614.34442452056
Male,65.0,70.0,not_pregnant,1,244566.76959525322
Male,65.0,70.0,not_pregnant,2,214026.767271956
Male,65.0,70.0,not_pregnant,3,220000.95653495373
Male,65.0,70.0,not_pregnant,4,235575.02951289076
Male,65.0,70.0,not_pregnant,5,251188.19968598837
Male,70.0,75.0,not_pregnant,1,168097.27979389176
Male,70.0,75.0,not_pregnant,2,147106.31964038676
Male,70.0,75.0,not_pregnant,3,151212.53965443763
Male,70.0,75.0,not_pregnant,4,161917.01642057954
Male,70.0,75.0,not_pregnant,5,172648.3657343081
Male,75.0,80.0,not_pregnant,1,108093.6648942589
Male,75.0,80.0,not_pregnant,2,94595.58916439714
Male,75.0,80.0,not_pregnant,3,97236.06241134758
Male,75.0,80.0,not_pregnant,4,104119.49399243238
Male,75.0,80.0,not_pregnant,5,111020.2057588792
Male,80.0,85.0,not_pregnant,1,68456.88083641494
Male,80.0,85.0,not_pregnant,2,59908.40426598896
Male,80.0,85.0,not_pregnant,3,61580.644379182006
Male,80.0,85.0,not_pregnant,4,65939.99565062701
Male,80.0,85.0,not_pregnant,5,70310.29064935997
Male,85.0,90.0,not_pregnant,1,33915.87002754393
