sex,age_start,age_end,pregnant,wealth_quintile,value
Male,40.0,45.0,not_pregnant,5,626529.5603651768
Male,45.0,50.0,not_pregnant,1,341035.70744871773
Male,45.0,50.0,not_pregnant,2,391325.49466897745
Male,45.0,50.0,not_pregnant,3,409331.6631940954
Male,45.0,50.0,not_pregnant,4,396431.6105239517
Male,45.0,50.0,not_pregnant,5,496621.12464092247
Male,50.0,55.0,not_pregnant,1,296178.8129762137
Male,50.0,55.0,not_pregnant,2,309884.05407999275
Male,50.0,55.0,not_pregnant,3,321644.56867418153
Male,50.0,55.0,not_pregnant,4,340328.14879180986
Male,50.0,55.0,not_pregnant,5,298262.65755051334
Male,55.0,60.0,not_pregnant,1,223631.71463031592
Male,55.0,60.0,not_pregnant,2,233979.9449330221
Male,55.0,60.0,not_pregnant,3,242859.79699672968
Male,55.0,60.0,not_pregnant,4,256966.95413991687
Male,55.0,60.0,not_pregnant,5,225205.13485741074
Male,60.0,65.0,not_pregnant,1,166677.51149410324
Male,60.0,65.0,not_pregnant,2,174390.26940088862
Male,60.0,65.0,not_pregnant,3,181008.61352466932
Male,60.0,65.0,not_pregnant,4,191522.9801956475
Male,60.0,65.0,not_pregnant,5,167850.21532289684
Male,65.0,70.0,not_pregnant,1,124907.40761530874
Male,65.0,70.0,not_pregnant,2,130687.31509691953
Male,65.0,70.0,not_pregnant,3,135647.07361381283
Male,65.0,70.0,not_pregnant,4,143526.49460957898
Male,65.0,70.0,not_pregnant,5,125786.22680238508
Male,70.0,75.0,not_pregnant,1,90502.05361523674
Male,70.0,75.0,not_pregnant,2,94689.90369377554
Male,70.0,75.0,not_pregnant,3,98283.51226979318
Male,70.0,75.0,not_pregnant,4,103992.57144434651
Male,70.0,75.0,not_pregnant,5,91138.80481122533
Male,75.0,80.0,not_pregnant,1,62515.82864061431
Male,75.0,80.0,not_pregnant,2,65408.65711714334
Male,75.0,80.0,not_pregnant,3,67891.00319621549
Male,75.0,80.0,not_pregnant,4,71834.63265873428
Male,75.0,80.0,not_pregnant,5,62955.67532988796
Male,80.0,85.0,not_pregnant,1,38924.32788902137
Male,80.0,85.0,not_pregnant,2,40725.49419514886
Male,80.0,85.0,not_pregnant,3,42271.08120594084
Male,80.0,85.0,not_pregnant,4,44726.509368851905
Male,80.0,85.0,not_pregnant,5,39198.19031916863
Male,85.0,90.0,not_pregnant,1,19699.279939013075
Male,85.0,90.0,not_pregnant,2,20610.83528769595
Male,85.0,90.0,not_pregnant,3,21393.044071942713
Male,85.0,90.0,not_pregnant,4,22635.715927169906
Male,85.0,90.0,not_pregnant,5,19837.87944654037
Male,90.0,95.0,not_pregnant,1,7284.297522867768
Male,90.0,95.0,not_pregnant,2,7621.367729947642
Male,90.0,95.0,not_pregnant,3,7910.608835566427
Male,90.0,95.0,not_pregnant,4,8370.117586383358
Male,90.0,95.0,not_pregnant,5,7335.548129614684
Male,95.0,125.0,not_pregnant,1,1459.535125036844
Male,95.0,125.0,not_pregnant,2,1527.0729768739056
Male,95.0,125.0,not_pregnant,3,1585.02744014642
Male,95.0,125.0,not_pregnant,4,1677.097974054963
Male,95.0,125.0,not_pregnant,5,1469.8040714234717
